SSID,BSSID,RSSI,Channel,Security,AP_Count,Signal_Var,Label
Raj,4C:AE:1C:4B:7A:7F,-72,2412,WPA2,1,3,Legit
Raj,4C:AE:1C:4B:7A:80,-68,5180,WPA2,2,5,Legit
FTTH,4C:AE:1C:4B:7A:83,-52,2412,WPA2,1,2,Legit
FTTH,4C:AE:1C:4B:7A:84,-49,5180,WPA2,2,4,Legit
Airtel_bhav_6403,2C:C1:F4:BC:70:AA,-78,2412,WPA2,2,6,Legit
Airtel_bhav_6403,2C:C1:F4:BC:70:A9,-74,5180,WPA2,2,5,Legit
HomeNet,3A:BC:22:11:09:EF,-65,2437,WPA2,1,4,Legit
OfficeWiFi,9D:AB:77:32:11:AA,-60,2462,WPA2,1,5,Legit
CafeWiFi,8F:22:19:AA:BC:DD,-58,2412,WPA2,1,6,Legit
LibraryNet,7E:12:98:BC:FA:11,-70,2437,WPA2,1,4,Legit

Raj,AA:BB:CC:11:22:33,-35,2412,Open,2,30,Fake
Raj,AA:BB:CC:11:22:34,-32,2412,Open,2,28,Fake
FTTH,DD:EE:FF:22:33:44,-30,2437,Open,2,27,Fake
FTTH,DD:EE:FF:22:33:45,-28,2437,Open,2,29,Fake
Airtel_bhav_6403,11:22:33:44:55:66,-25,2412,Open,3,35,Fake
Airtel_bhav_6403,11:22:33:44:55:67,-22,2412,Open,3,33,Fake
HomeNet,22:33:44:55:66:77,-40,2462,Open,2,26,Fake
OfficeWiFi,33:44:55:66:77:88,-38,2462,Open,2,24,Fake
CafeWiFi,44:55:66:77:88:99,-20,2412,Open,3,36,Fake
LibraryNet,55:66:77:88:99:AA,-18,2437,Open,3,38,FakeFTTH,4c:ae:1c:4b:7a:83:,-49,2412000,WPA2,1,1,Legit
Raj,4c:ae:1c:4b:7a:7f:,-75,5745000,WPA2,1,3,Legit
FTTH,4c:ae:1c:4b:7a:83:,-51,2412000,WPA2,1,2,Legit
Airtel_bhav_6403,2c:c1:f4:bc:70:a9:,-73,2462000,WPA2,1,4,Legit
Airtel_bhav_6403,2c:c1:f4:bc:70:aa:,-78,5240000,WPA2,2,11,Legit
Raj ,aa:7f:82:51:3c:4e:,-42,5745000,WPA2,1,10,Legit
Pillai,70:a7:41:82:d3:9e:,-82,5765000,WPA2,8,19,Fake
Pillai,72:a2:f4:3f:ac:80:,-82,5765000,WPA2,8,19,Fake
Pillai,28:70:4e:4c:56:b3:,-82,5765000,WPA2,8,19,Fake
Pillai,28:70:4e:4b:f3:bb:,-82,5765000,WPA2,8,19,Fake
Pillai,28:70:4e:4c:56:b2:,-82,5765000,WPA2,8,19,Fake
Pillai,28:70:4e:4b:f3:ba:,-82,5765000,WPA2,8,19,Fake
Pillai,0c:ea:14:13:23:a3:,-82,5765000,WPA2,8,19,Fake
Pillai,70:a7:41:81:d3:9e:,-82,5765000,WPA2,8,19,Fake
Guest,2a:70:4e:3c:56:b3:,-81,5765000,WPA2,9,18,Fake
Guest,76:a7:41:82:d3:9e:,-81,5765000,WPA2,9,18,Fake
Guest,2a:70:4e:3b:f3:bb:,-81,5765000,WPA2,9,18,Fake
Guest,2a:70:4e:2c:56:b2:,-81,5765000,WPA2,9,18,Fake
Guest,76:a7:41:81:d3:9e:,-81,5765000,WPA2,9,18,Fake
Guest,2a:70:4e:2b:f3:ba:,-81,5765000,WPA2,9,18,Fake
Guest,0e:ea:14:33:23:a3:,-81,5765000,WPA2,9,18,Fake
Guest,0e:ea:14:23:23:a2:,-81,5765000,WPA2,9,18,Fake
Guest,7a:45:58:9f:3e:8a:,-81,5765000,WPA2,9,18,Fake
iQOO Z10x 5G,e6:e8:db:4c:0d:f6:,-86,2472000,WPA2,1,0,Legit
Ak Print,6e:af:fd:bf:f3:c8:,-87,2462000,WPA2,1,0,Legit
Bhavesh,42:7d:56:74:e6:28:,-44,2437000,WPA2,1,9,Legit
Nothing Phone (2a)_1997,46:79:73:1d:da:75:,-87,2437000,WPA2,1,7,Legit
Shubhamð,36:66:91:a7:ac:5c:,-53,2437000,WPA2,1,12,Legit
PHCOA,0e:ea:14:13:23:a3:,-87,5745000,WPA2,2,4,Legit
PHCOA,0e:ea:14:13:23:a2:,-87,5745000,WPA2,2,4,Legit
